id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
56521369241508975204,253.24571,2.40708,SN,TNS,0,0.0340604232143756,0,18.7,21.66911,20.99112,24.80205,24.36181,19.69523
37085747135430208498,231.2855,37.96372,SN,TNS,0,0.0137670527152647,0,17.9,22.73611,22.96506,22.73587,22.46328,22.6414
66319312652213071177,39.93062,-16.00229,SN,TNS,0,0.0799212660580418,0,19.71,22.50655,23.09124,22.36186,22.42093,22.81115
2201944182848871264,178.67621,44.02169,SN,TNS,1,0.0175145718327444,0.079281,17.5,21.1513,19.70051,19.29981,19.04805,18.9543
9340595769553150612,11.58783,-9.15769,SN,TNS,1,0.0211429700872861,0.138305,17.6,22.35613,21.10756,20.70018,20.44893,20.01991
92538694533124333235,175.18329,22.43192,SN,TNS,0,0.0820150858949485,0,17.1,19.73027,18.92727,18.83997,18.92918,19.12727
79732207357309576153,345.10262,1.62689,SN,TNS,1,0.0235999113217843,0.384655,15.9,21.57895,21.53387,21.48514,21.60102,22.6684
36512870658602627315,244.57625,42.60414,SN,TNS,1,0.020317372665278,0.04331,18.86,18.90228,17.61686,17.149,16.91043,16.80065
94500910188587480410,212.41871,-0.65668,SN,TNS,1,0.0521821008060286,0.819252,17.4,24.6348,21.80977,19.26544,24.36177,22.82697
59461672721047381925,352.52558,5.69304,SN,TNS,1,0.0430377127590217,0.509437,19.56,22.09488,21.22617,20.39301,20.06527,20.78737
46983674073755525291,340.46596,34.96872,SN,TNS,1,0.0933691910101109,0.034968,17.0,17.8011,16.17617,15.35677,14.87579,14.43623
69737514500204165605,10.59108,29.64486,SN,TNS,0,0.0603629874857581,0,19.1,22.27896,22.30555,22.50576,22.5734,22.79369
22758072548247706576,223.52137,22.09461,SN,TNS,1,0.00210734088211752,0.164136,17.7,22.93851,21.25455,20.74247,20.45935,20.19723
96418453289579937420,176.21733,19.45494,SN,TNS,1,0.0479631093293935,0.024769,18.9,16.16217,14.82723,14.1656,13.8214,13.51603
24470528414193577596,336.38233,38.98431,SN,TNS,1,0.050587334574198,0.038065,16.8,17.56568,16.42282,15.88428,15.55762,15.33458
23667237426617322248,201.808,-2.27007,SN,TNS,1,0.0555772495003127,0.089031,18.4,21.10192,19.7106,19.41304,19.04528,19.00029
37918082589182128793,217.27092,41.91186,SN,TNS,0,0.0585467642193088,0,17.0,23.36542,22.87028,23.23759,23.40067,22.4011
56999887512605162222,219.02075,2.34283,SN,TNS,1,0.0311744359170046,0.164121,18.7,22.03924,20.91245,20.40648,20.2059,19.92492
19214368465677105126,248.60696,21.54122,SN,TNS,1,0.0480123882797187,0.01487,18.7,15.80192,14.38837,13.59429,13.2272,12.90115
13796303613443366546,15.33808,31.51289,SN,TNS,1,0.0327552207386617,-9999,18.9,22.00622,20.89775,21.68406,23.81907,22.8269
124970260866315073,196.2545,34.51197,SN,TNS,1,0.021158191783939,0.147213,20.12,20.49752,18.55322,17.46186,17.03015,16.69217
11088279314846529766,256.06687,41.51044,SN,TNS,1,0.0197380785407199,0.102601,17.7,19.30534,18.24072,17.71337,17.42369,17.20497
83106379994969348009,261.04262,59.00192,SN,TNS,1,0.07025563434424,0.508776,17.4,21.84273,21.67094,21.28107,21.21872,22.25023
66878262131730281751,260.23979,24.9098,SN,TNS,1,0.0045042330963281,0.104842,18.1,21.58575,19.21804,18.35804,17.8744,17.56707
26527340221010261584,23.42892,34.81031,SN,TNS,0,0.0224518558376488,0,16.1,24.01011,23.41432,23.45304,22.5623,21.20602
67254877028545373752,163.50696,46.02747,SN,TNS,1,0.00746838617163836,-9999,17.6,21.03656,20.82059,24.80201,24.36176,22.82695
4180091473246449618,349.1805,33.99656,SN,TNS,1,0.0528002437000271,-9999,17.5,15.37309,13.66577,12.69188,12.20101,11.77329
67015709429722558253,124.70917,57.10081,SN,TNS,0,0.0362653568377363,0,19.2,22.44884,25.11437,24.80202,24.3618,22.37738
69382683532630470564,245.67983,18.95989,SN,TNS,1,0.0430041292090513,0.032676,16.5,22.10824,20.20378,20.03183,19.80194,19.45991
56488745556927821385,174.336,-4.91023,SN,TNS,0,0.055068977687224,0,16.3,22.19812,22.0908,21.66699,22.12528,22.57009
60375065265554841789,234.66579,41.00553,SN,TNS,0,0.0784769403386764,0,16.5,23.08203,23.3442,22.89228,22.84572,22.8269
28738240669100121656,151.54837,47.29461,SN,TNS,1,0.0357783665668671,0.042796,18.1,18.33393,16.98457,16.44126,16.17288,15.99225
47753722449636489996,218.49571,40.23908,SN,TNS,0,0.046709704623883,0,15.7,22.28612,22.17216,22.41972,24.32641,22.8269
5752668907055748694,176.49825,46.78069,SN,TNS,1,0.026240959678325,0.073054,19.0,21.68402,20.73347,20.53802,20.28895,20.27954
61773367027445657165,344.58458,2.29164,SN,TNS,1,0.0141224430436849,0.552642,16.6,23.09573,21.78226,21.53684,21.66082,20.94966
99343771403767955918,116.36225,29.89098,SN,TNS,1,0.0202103877398249,0.354537,17.6,20.94621,20.62455,20.74916,20.79355,20.99122
60084276588552008782,198.22375,28.79869,SN,TNS,1,0.0304756997511675,0.130212,20.6,22.14667,20.84758,20.44207,20.21273,19.822
67016661163097108328,150.36333,36.67,SN,TNS,0,0.00897415082615535,0,17.7,22.36782,22.17574,22.54149,23.03049,22.82689
72264606070090689279,18.22883,0.97936,SN,TNS,0,0.0495538725186542,0,12.2,20.14888,20.0729,20.59241,20.47525,21.18951
9761725966585330788,130.84233,10.72989,SN,TNS,0,0.0491503082333327,0,17.7,23.0451,23.51667,24.07464,24.04163,22.82689
74071167018601159300,279.97471,40.02881,SN,TNS,1,0.0794195113837,0.226837,17.6,20.93236,20.52623,20.31249,20.2813,20.42569
50968021523231842589,226.16992,12.62878,SN,TNS,0,0.0296250951912983,0,17.5,22.7504,21.34189,21.86756,22.0793,21.88813
61911114477925838298,246.7665,51.61383,SN,TNS,0,0.0164014710509295,0,16.9,22.59974,22.67192,23.63028,23.54029,22.21866
30725993564588765498,229.98292,5.40533,SN,TNS,1,0.00712119359497346,-9999,17.64,25.24021,22.45777,22.49919,21.95858,23.31149
75266203926494751821,69.04604,-5.08142,SN,TNS,1,0.0884310802052392,0.308373,17.7,24.17738,21.45282,20.59144,20.04614,19.99869
18474873971148948316,17.47071,15.99536,SN,TNS,1,0.0113595165632851,0.098426,19.7,22.79795,20.9443,20.54013,20.37749,20.16372
67980009112230389844,4.49817,24.56278,SN,TNS,1,0.0671810891588262,0.120234,17.6,21.10686,20.30449,20.13504,20.08014,19.816
89279750313125106918,242.94362,40.85617,SN,TNS,1,0.0655080272941693,0.257807,17.5,19.95394,19.46747,19.40951,19.40705,20.9376
