ID,RA,DEC,Label,Redshift,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS distance,SDSS ra,SDSS dec,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS obj,SDSS run,SDSS rerun,SDSS field,SDSS camcol
1804,32.88346,-4.23225,SN,,,,,,,,,0,1,,22.7,,10/21/2000 0:00,,,1.24E+18,3,0.059573442,32.88247106,-4.232135284,26.10969,23.62347,21.95356,21.16512,20.25388,834,7881,301,241,4
1803,32.60729,-5.42603,SN,,,,,,,,,0,1,,23.6,,10/25/2000 0:00,,,1.24E+18,3,0.049259864,32.60806103,-5.426321321,24.37965,22.49032,22.19884,21.21177,21.51352,873,7865,301,132,1
1802,32.47508,-5.47161,SN,,,,,,,,,0,1,,23.3,,10/25/2000 0:00,,,1.24E+18,3,0.007256466,32.47499611,-5.471697479,23.81289,22.89969,22.14984,21.63867,20.89841,823,7865,301,131,1
1800,352.67233,0.31186,SN,,,,,,,,,0,1,,23.1,,10/21/2000 0:00,,,1.24E+18,3,0.010833345,352.6721505,0.311879786,24.45193,22.77703,21.84382,21.58187,21.47672,591,4874,301,372,4
1799,351.39971,-0.37611,SN,,,,,,,,,0,1,,22.7,,10/25/2000 0:00,,,1.24E+18,6,0.10042189,351.3981033,-0.375640913,20.4901,18.52832,17.70015,17.34758,17.10619,210,4263,301,58,3
1798,34.612,5.65056,SN,,,,,,,,,0,1,,17.3,,10/30/2000 0:00,,,1.24E+18,6,0.086268814,34.61341758,5.650837967,24.63466,21.73586,22.0393,22.24387,22.8269,63,5714,301,104,1
1788,346.27442,-3.20028,SN,,,,,,,,,0,1,,17.9,,9/27/2000 0:00,,,1.24E+18,6,0.032523501,346.2738773,-3.200264997,25.65661,22.90341,22.73792,22.24684,22.5626,168,8038,301,128,2
1786,25.52404,7.66617,SN,,,,,,,,,0,1,,18,,9/11/2000 0:00,,,1.24E+18,3,0.099171226,25.52499862,7.664817477,16.99313,14.94514,13.9738,13.52743,13.29791,84,5714,301,43,5
1781,1.55754,8.88819,SN,,,,,,,,,0,1,,17.8,,8/22/2000 0:00,,,1.24E+18,6,0.102094291,1.555892538,8.888685994,21.83722,21.67051,21.16835,21.8827,22.1308,177,7784,301,206,1
1780,243.55092,6.15017,SN,,,,,,,,,0,1,,17.2,,8/17/2000 0:00,,,1.24E+18,6,0.001411148,243.5509412,6.150159496,24.10408,25.11441,24.80208,22.79641,21.55931,473,3909,301,320,6
1770,356.85458,28.38772,SN,,,,,,,,,0,1,,17.4,,7/14/2000 0:00,,,1.24E+18,3,0.147646513,356.8529489,28.38971911,17.99213,24.64832,24.04543,23.38811,22.64268,25,8110,301,212,6
1769,183.92517,61.89017,SN,,,,,,,,,0,1,,16.1,,7/11/2000 0:00,,,1.24E+18,3,0.145370606,183.9200694,61.88986243,15.6575,14.70953,14.27148,14.0509,13.81136,52,2304,301,194,2
1763,241.36508,17.83022,SN,,,,,,,,,0,1,,18,,6/21/2000 0:00,,,1.24E+18,3,0.050786886,241.3658588,17.82981162,19.32014,24.6594,24.0997,24.42679,24.25083,483,4649,301,376,4
1760,183.24625,7.29806,SN,,,,,,,,,0,1,,16,,5/31/2000 0:00,,,1.24E+18,3,0.191336615,183.2492905,7.299096254,17.53628,16.35382,15.85787,15.6374,15.49328,143,3015,301,460,3
1752,121.28937,66.78756,SN,,,,,,,,,0,1,,15,,5/8/2000 0:00,,,1.24E+18,6,0.023140298,121.2892568,66.78794308,23.44364,22.07281,22.06024,21.87141,21.54715,201,5060,301,176,5
1745,174.97879,-4.37122,SN,,,,,,,,,0,1,,19.3,,4/7/2000 0:00,,,1.24E+18,3,0.065555133,174.9797632,-4.371722202,19.12008,17.19257,16.20089,15.73507,15.38084,289,5976,301,157,1
1734,143.92146,4.53703,SN,,,,,,,,,0,1,,18.8,,3/25/2000 0:00,,,1.24E+18,3,0.012769642,143.9212484,4.537002028,21.71029,20.34115,19.7666,19.49799,19.39967,406,2986,301,169,1
1865,182.81492,17.89228,SN,,,,,,,,,0,1,,17.1,,3/5/2000 0:00,,,1.24E+18,6,0.020937003,182.8146617,17.89203233,22.78584,22.98992,22.96288,23.98909,22.82689,36,5390,301,64,4
1861,176.95733,56.01669,SN,,,,,,,,,0,1,,16.6,,2/28/2000 0:00,,,1.24E+18,3,0.141850834,176.9534656,56.01572903,19.04635,17.81695,17.69557,17.4006,24.04921,81,3697,301,59,1
1693,351.99542,8.78392,SN,,,,,,,,,0,1,,16.5,,1/1/2000 0:00,,,1.24E+18,3,0.076614164,351.9948119,8.782793377,17.05934,15.44653,14.62805,14.20449,13.86921,13,7814,301,96,1
1673,8.56446,0.07394,SN,,,,,,,,,0,1,,23.3,,9/7/1999 0:00,,,1.24E+18,3,0.02629237,8.564842342,0.074154101,21.417,21.24026,19.88737,19.42436,19.0028,480,4263,301,173,4
1659,157.33029,26.10533,SN,,,,,,,,,0,1,,17.5,,11/17/1999 0:00,,,1.24E+18,3,0.018330261,157.3305166,26.10555791,21.92855,21.32173,21.37074,22.67876,22.13598,97,5071,301,282,1
1653,129.60254,25.75919,SN,,,,,,,,,0,1,,17.8,,11/24/1999 0:00,,,1.24E+18,6,0.034473454,129.6029491,25.75963087,22.60528,21.26662,21.10092,21.11293,20.47571,42,4469,301,129,4
1646,353.40746,0.20106,SN,,,,,,,,,0,1,,23.1,,11/3/1999 0:00,,,1.24E+18,3,0.018732343,353.4075729,0.201351069,22.30904,21.57487,20.63972,20.21015,19.98597,800,4263,301,71,4
1645,352.97096,0.15897,SN,,,,,,,,,0,1,,21.1,,11/3/1999 0:00,,,1.24E+18,3,0.017260403,352.9708667,0.159242137,23.12837,22.52963,21.45942,21.09596,20.74896,319,4263,301,69,4
